from,to,weight
santabarbaraite,phosphophyllite,1.0
santabarbaraite,rockbridgeite,2.0
santabarbaraite,wavellite,1.0
santabarbaraite,vantasselite,1.0
santabarbaraite,monazite-(ce),1.0
santabarbaraite,pseudolaueite,1.0
santabarbaraite,childrenite,1.0
santabarbaraite,heterosite,1.0
santabarbaraite,lithiophosphate,1.0
santabarbaraite,goyazite,1.0
santabarbaraite,tinticite,1.0
santabarbaraite,libethenite,4.0
santabarbaraite,metaswitzerite,1.0
santabarbaraite,messelite,1.0
santabarbaraite,bermanite,1.0
santabarbaraite,jahnsite-(camnfe),1.0
santabarbaraite,leucophosphite,1.0
santabarbaraite,roscherite,1.0
santabarbaraite,whiteite-(camnmg),1.0
santabarbaraite,cacoxenite,3.0
santabarbaraite,turquoise,1.0
santabarbaraite,whiteite-(mnfemg),1.0
santabarbaraite,rittmannite,1.0
santabarbaraite,hydroxylapatite,1.0
santabarbaraite,laueite,1.0
santabarbaraite,jahnsite-(camnmg),1.0
santabarbaraite,xanthoxenite,1.0
santabarbaraite,vivianite,13.0
santabarbaraite,planerite,1.0
santabarbaraite,collinsite,1.0
santabarbaraite,lithiophilite,1.0
santabarbaraite,mangangordonite,1.0
santabarbaraite,scholzite,1.0
santabarbaraite,crandallite,1.0
santabarbaraite,allanpringite,1.0
santabarbaraite,autunite,1.0
santabarbaraite,hureaulite,1.0
santabarbaraite,fairfieldite,1.0
santabarbaraite,mantienneite,1.0
santabarbaraite,frondelite,1.0
santabarbaraite,ximengite,1.0
santabarbaraite,pseudomalachite,4.0
santabarbaraite,calcioferrite,1.0
santabarbaraite,footemineite,1.0
santabarbaraite,mitridatite,8.0
santabarbaraite,steinmetzite,1.0
santabarbaraite,fanfaniite,1.0
santabarbaraite,uralolite,1.0
santabarbaraite,kayrobertsonite,1.0
santabarbaraite,variscite,1.0
santabarbaraite,beraunite,2.0
santabarbaraite,montebrasite,1.0
santabarbaraite,earlshannonite,1.0
santabarbaraite,moraesite,1.0
santabarbaraite,phosphosiderite,3.0
santabarbaraite,stewartite,1.0
santabarbaraite,purpurite,1.0
santabarbaraite,corkite,1.0
santabarbaraite,meta-autunite,1.0
santabarbaraite,strengite,3.0
santabarbaraite,hydroxylherderite,1.0
santabarbaraite,svanbergite,1.0
santabarbaraite,paravauxite,1.0
santabarbaraite,bassetite,1.0
santabarbaraite,delvauxite,1.0
santabarbaraite,parascholzite,1.0
santabarbaraite,pyromorphite,1.0
santabarbaraite,cyrilovite,1.0
santabarbaraite,anapaite,4.0
santabarbaraite,phosphohedyphane,1.0
santabarbaraite,ferrisicklerite,1.0
santabarbaraite,dufrenite,2.0
santabarbaraite,nordgauite,1.0
santabarbaraite,torbernite,1.0
santabarbaraite,plumbogummite,2.0
santabarbaraite,triphylite,1.0
santabarbaraite,diadochite,2.0
santabarbaraite,kastningite,1.0
santabarbaraite,fluorapatite,4.0
santabarbaraite,kingsmountite,1.0
santabarbaraite,schoonerite,1.0
santabarbaraite,strunzite,2.0
santabarbaraite,kidwellite,1.0
santabarbaraite,metavivianite,4.0
santabarbaraite,jahnsite-(camnmn),2.0
santabarbaraite,kolbeckite,1.0
santabarbaraite,whitmoreite,1.0
santabarbaraite,eosphorite,1.0
santabarbaraite,nizamoffite,1.0
santabarbaraite,jahnsite-(mnmnzn),1.0
santabarbaraite,spheniscidite,1.0
santabarbaraite,ferraioloite,1.0
santabarbaraite,robertsite,1.0
santabarbaraite,matulaite,1.0
santabarbaraite,switzerite,1.0
santabarbaraite,lipscombite,1.0
santabarbaraite,churchite-(y),2.0
santabarbaraite,whiteite-(camnmn),1.0
santabarbaraite,kintoreite,1.0
santabarbaraite,herderite,1.0
santabarbaraite,zincolibethenite,1.0
santabarbaraite,chalcosiderite,1.0
metatorbernite,phosphophyllite,8.0
metatorbernite,rockbridgeite,26.0
metatorbernite,wagnerite,1.0
metatorbernite,wavellite,22.0
metatorbernite,goedkenite,1.0
metatorbernite,mendozavilite-kca,1.0
metatorbernite,fluellite,11.0
metatorbernite,meurigite-k,9.0
metatorbernite,monazite-(ce),25.0
metatorbernite,pseudolaueite,2.0
metatorbernite,perhamite,3.0
metatorbernite,perloffite,2.0
metatorbernite,sinkankasite,1.0
metatorbernite,childrenite,8.0
metatorbernite,heterosite,20.0
metatorbernite,sigismundite,2.0
metatorbernite,threadgoldite,4.0
metatorbernite,mrazekite,1.0
metatorbernite,dickinsonite-(kmnna),5.0
metatorbernite,plimerite,3.0
metatorbernite,goyazite,18.0
metatorbernite,landesite,4.0
metatorbernite,ningyoite,1.0
metatorbernite,brazilianite,5.0
metatorbernite,woodhouseite,2.0
metatorbernite,tinticite,3.0
metatorbernite,lefontite,1.0
metatorbernite,parsonsite,21.0
metatorbernite,kosnarite,3.0
metatorbernite,libethenite,33.0
metatorbernite,metasaleeite,5.0
metatorbernite,jahnsite-(mnmnfe),1.0
metatorbernite,metaswitzerite,7.0
metatorbernite,messelite,7.0
metatorbernite,bermanite,14.0
metatorbernite,jahnsite-(camnfe),11.0
metatorbernite,gordonite,2.0
metatorbernite,arrojadite-(kfe),3.0
metatorbernite,morinite,7.0
metatorbernite,phosphofibrite,2.0
metatorbernite,leucophosphite,24.0
metatorbernite,roscherite,5.0
metatorbernite,greifensteinite,7.0
metatorbernite,metanatroautunite,2.0
metatorbernite,lunokite,2.0
metatorbernite,sreinite,1.0
metatorbernite,whiteite-(camnmg),1.0
metatorbernite,cacoxenite,33.0
metatorbernite,ushkovite,5.0
metatorbernite,turquoise,26.0
metatorbernite,whiteite-(mnfemg),2.0
metatorbernite,rittmannite,4.0
metatorbernite,nevadaite,1.0
metatorbernite,hydroxylapatite,20.0
metatorbernite,reichenbachite,3.0
metatorbernite,arrojadite-(kna),1.0
metatorbernite,ferrorockbridgeite,1.0
metatorbernite,francoisite-(nd),3.0
metatorbernite,drugmanite,1.0
metatorbernite,laueite,16.0
metatorbernite,natropalermoite,1.0
metatorbernite,jahnsite-(camnmg),3.0
metatorbernite,rhabdophane-(la),1.0
metatorbernite,xanthoxenite,8.0
metatorbernite,vivianite,37.0
metatorbernite,parahopeite,2.0
metatorbernite,goldquarryite,1.0
metatorbernite,lehnerite,1.0
metatorbernite,tvrdyite,2.0
metatorbernite,collinsite,2.0
metatorbernite,lithiophilite,6.0
metatorbernite,phurcalite,10.0
metatorbernite,renardite,4.0
metatorbernite,lermontovite,1.0
metatorbernite,manganflurlite,1.0
metatorbernite,hentschelite,6.0
metatorbernite,metavariscite,3.0
metatorbernite,mangangordonite,2.0
metatorbernite,smrkovecite,1.0
metatorbernite,calciopetersite,1.0
metatorbernite,vyacheslavite,2.0
metatorbernite,fluorwavellite,1.0
metatorbernite,lacroixite,2.0
metatorbernite,scholzite,2.0
metatorbernite,beryllonite,9.0
metatorbernite,crandallite,19.0
metatorbernite,autunite,179.0
metatorbernite,hureaulite,18.0
metatorbernite,isokite,4.0
metatorbernite,zwieselite,7.0
metatorbernite,fairfieldite,16.0
metatorbernite,palermoite,1.0
metatorbernite,whitlockite,4.0
metatorbernite,frondelite,10.0
metatorbernite,mendozavilite-nacu,1.0
metatorbernite,englishite,2.0
metatorbernite,metauranocircite-i,12.0
metatorbernite,xenotime-(y),28.0
metatorbernite,dewindtite,30.0
metatorbernite,waylandite,5.0
metatorbernite,zincoberaunite,1.0
metatorbernite,matioliite,1.0
metatorbernite,ferrostrunzite,2.0
metatorbernite,pseudomalachite,40.0
metatorbernite,calcioferrite,1.0
metatorbernite,philipsburgite,2.0
metatorbernite,aldermanite,1.0
metatorbernite,wycheproofite,1.0
metatorbernite,viitaniemiite,1.0
metatorbernite,wilhelmgumbelite,1.0
metatorbernite,mitridatite,21.0
metatorbernite,lazulite,4.0
metatorbernite,reddingite,7.0
metatorbernite,steinmetzite,1.0
metatorbernite,galliskiite,1.0
metatorbernite,kunatite,1.0
metatorbernite,rhabdophane-(nd),1.0
metatorbernite,augelite,4.0
metatorbernite,bearthite,1.0
metatorbernite,grayite,2.0
metatorbernite,wolfeite,7.0
metatorbernite,montgomeryite,1.0
metatorbernite,paulkerrite,1.0
metatorbernite,coconinoite,4.0
metatorbernite,uralolite,1.0
metatorbernite,ferrirockbridgeite,1.0
metatorbernite,sincosite,3.0
metatorbernite,kayrobertsonite,1.0
metatorbernite,variscite,17.0
metatorbernite,beraunite,24.0
metatorbernite,montebrasite,13.0
metatorbernite,souzalite,2.0
metatorbernite,earlshannonite,6.0
metatorbernite,moraesite,6.0
metatorbernite,eylettersite,1.0
metatorbernite,serrabrancaite,2.0
metatorbernite,phosphosiderite,28.0
metatorbernite,stewartite,12.0
metatorbernite,sicklerite,1.0
metatorbernite,arrojadite-(srfe),1.0
metatorbernite,bobierrite,1.0
metatorbernite,florencite-(la),2.0
metatorbernite,purpurite,4.0
metatorbernite,graftonite,8.0
metatorbernite,kummerite,1.0
metatorbernite,rhabdophane-(ce),3.0
metatorbernite,sarcopside,6.0
metatorbernite,corkite,10.0
metatorbernite,amblygonite,3.0
metatorbernite,gorceixite,6.0
metatorbernite,vanmeersscheite,3.0
metatorbernite,uranospathite,7.0
metatorbernite,samuelsonite,1.0
metatorbernite,yingjiangite,4.0
metatorbernite,beusite,1.0
metatorbernite,saleeite,38.0
metatorbernite,meta-autunite,148.0
metatorbernite,tavorite,7.0
metatorbernite,barbosalite,7.0
metatorbernite,zairite,2.0
metatorbernite,koninckite,1.0
metatorbernite,bjarebyite,2.0
metatorbernite,monazite-(la),1.0
metatorbernite,strengite,30.0
metatorbernite,richellite,3.0
metatorbernite,hydroxylherderite,18.0
metatorbernite,svanbergite,1.0
metatorbernite,paravauxite,4.0
metatorbernite,florencite-(ce),4.0
metatorbernite,kapundaite,1.0
metatorbernite,vochtenite,2.0
metatorbernite,wilhelmvierlingite,1.0
metatorbernite,zanazziite,2.0
metatorbernite,hagendorfite,2.0
metatorbernite,dumontite,7.0
metatorbernite,bassetite,18.0
metatorbernite,phosphuranylite,64.0
metatorbernite,delvauxite,1.0
metatorbernite,jungite,1.0
metatorbernite,zigrasite,1.0
metatorbernite,benyacarite,6.0
metatorbernite,aheylite,1.0
metatorbernite,parascholzite,2.0
metatorbernite,kulanite,2.0
metatorbernite,pyromorphite,29.0
metatorbernite,alluaudite,3.0
metatorbernite,triplite,15.0
metatorbernite,krasnoite,3.0
metatorbernite,cyrilovite,15.0
metatorbernite,hinsdalite,5.0
metatorbernite,ferrowyllieite,1.0
metatorbernite,bergenite,4.0
metatorbernite,anapaite,1.0
metatorbernite,francoisite-(ce),2.0
metatorbernite,kryzhanovskite,3.0
metatorbernite,phosphohedyphane,1.0
metatorbernite,phosphowalpurgite,1.0
metatorbernite,ferrisicklerite,6.0
metatorbernite,dufrenite,13.0
metatorbernite,nordgauite,2.0
metatorbernite,torbernite,238.0
metatorbernite,olmsteadite,1.0
metatorbernite,sabugalite,26.0
metatorbernite,berlinite,3.0
metatorbernite,plumbogummite,9.0
metatorbernite,wildenauerite,1.0
metatorbernite,wooldridgeite,1.0
metatorbernite,triphylite,28.0
metatorbernite,diadochite,13.0
metatorbernite,uranocircite-ii,20.0
metatorbernite,horakite,1.0
metatorbernite,kastningite,3.0
metatorbernite,minyulite,3.0
metatorbernite,cheralite,3.0
metatorbernite,fluorapatite,101.0
metatorbernite,kingite,3.0
metatorbernite,kingsmountite,2.0
metatorbernite,hopeite,6.0
metatorbernite,schoonerite,7.0
metatorbernite,benauite,2.0
metatorbernite,jahnsite-(mnmnmn),1.0
metatorbernite,gayite,2.0
metatorbernite,apexite,1.0
metatorbernite,strunzite,19.0
metatorbernite,flurlite,1.0
metatorbernite,metavanmeersscheite,2.0
metatorbernite,kidwellite,8.0
metatorbernite,cornetite,2.0
metatorbernite,karenwebberite,1.0
metatorbernite,selwynite,1.0
metatorbernite,petersite-(y),2.0
metatorbernite,metavivianite,2.0
metatorbernite,evansite,1.0
metatorbernite,jahnsite-(camnmn),6.0
metatorbernite,kolbeckite,5.0
metatorbernite,whitmoreite,10.0
metatorbernite,gormanite,2.0
metatorbernite,brushite,1.0
metatorbernite,eosphorite,20.0
metatorbernite,sampleite,2.0
metatorbernite,tsumebite,2.0
metatorbernite,nizamoffite,1.0
metatorbernite,meta-ankoleite,2.0
metatorbernite,zincostrunzite,2.0
metatorbernite,robertsite,6.0
metatorbernite,keckite,3.0
metatorbernite,chlorapatite,2.0
metatorbernite,matulaite,2.0
metatorbernite,scorzalite,8.0
metatorbernite,switzerite,4.0
metatorbernite,foggite,1.0
metatorbernite,hurlbutite,1.0
metatorbernite,petitjeanite,4.0
metatorbernite,whiteite-(cafemg),1.0
metatorbernite,chernikovite,11.0
metatorbernite,lipscombite,6.0
metatorbernite,mccrillisite,1.0
metatorbernite,falsterite,1.0
metatorbernite,natrophilite,1.0
metatorbernite,wardite,6.0
metatorbernite,schmidite,1.0
metatorbernite,churchite-(y),12.0
metatorbernite,melkovite,1.0
metatorbernite,whiteite-(camnmn),1.0
metatorbernite,vauquelinite,2.0
metatorbernite,triploidite,4.0
metatorbernite,kintoreite,8.0
metatorbernite,iangreyite,1.0
metatorbernite,herderite,1.0
metatorbernite,ferristrunzite,1.0
metatorbernite,fillowite,1.0
metatorbernite,chalcosiderite,14.0
metatorbernite,glucine,1.0
metatorbernite,ludlamite,9.0
metatorbernite,natrodufrenite,13.0
metatorbernite,phosphoferrite,5.0
betalomonosovite,lomonosovite,2.0
betalomonosovite,polyphite,1.0
betalomonosovite,sobolevite,1.0
betalomonosovite,quadruphite,1.0
betalomonosovite,phosinaite-(ce),1.0
betalomonosovite,dorfmanite,2.0
betalomonosovite,nacaphite,2.0
betalomonosovite,clinophosinaite,1.0
betalomonosovite,fluorapatite,2.0
betalomonosovite,sidorenkite,1.0
sasaite,rockbridgeite,1.0
sasaite,wavellite,1.0
sasaite,struvite,1.0
sasaite,monazite-(ce),2.0
sasaite,childrenite,1.0
sasaite,sigismundite,2.0
sasaite,destinezite,1.0
sasaite,goyazite,1.0
sasaite,brazilianite,1.0
sasaite,messelite,1.0
sasaite,gordonite,1.0
sasaite,schertelite,1.0
sasaite,leucophosphite,3.0
sasaite,hydroxylapatite,1.0
sasaite,metavauxite,1.0
sasaite,arrojadite-(kna),2.0
sasaite,xanthoxenite,1.0
sasaite,planerite,1.0
sasaite,crandallite,3.0
sasaite,newberyite,2.0
sasaite,whitlockite,3.0
sasaite,matioliite,1.0
sasaite,satterlyite,1.0
sasaite,maghagendorfite,1.0
sasaite,mitridatite,1.0
sasaite,lazulite,1.0
sasaite,augelite,1.0
sasaite,wolfeite,1.0
sasaite,montgomeryite,1.0
sasaite,variscite,3.0
sasaite,souzalite,1.0
sasaite,phosphosiderite,3.0
sasaite,gorceixite,1.0
sasaite,garyansellite,1.0
sasaite,bjarebyite,1.0
sasaite,monazite-(la),1.0
sasaite,strengite,3.0
sasaite,dorfmanite,1.0
sasaite,hagendorfite,1.0
sasaite,kulanite,1.0
sasaite,penikisite,2.0
sasaite,alluaudite,1.0
sasaite,kryzhanovskite,1.0
sasaite,dufrenite,1.0
sasaite,diadochite,3.0
sasaite,baricite,2.0
sasaite,dittmarite,1.0
sasaite,metavivianite,2.0
sasaite,vashegyite,2.0
sasaite,evansite,2.0
sasaite,gormanite,1.0
sasaite,brushite,6.0
sasaite,eosphorite,1.0
sasaite,sampleite,1.0
sasaite,ferroalluaudite,2.0
sasaite,bariosincosite,1.0
sasaite,hannayite,1.0
sasaite,arrojadite-(bana),1.0
sasaite,wardite,1.0
sasaite,taranakite,3.0
archerite,swaknoite,1.0
archerite,hydroxylapatite,3.0
archerite,collinsite,1.0
archerite,stercorite,1.0
archerite,newberyite,1.0
archerite,whitlockite,4.0
archerite,ardealite,1.0
archerite,fluorapatite,1.0
archerite,hopeite,1.0
archerite,dittmarite,1.0
archerite,monetite,2.0
archerite,biphosphammite,5.0
archerite,brushite,2.0
archerite,hannayite,1.0
archerite,chlorapatite,1.0
archerite,mundrabillaite,2.0
phosphophyllite,rockbridgeite,20.0
phosphophyllite,wagnerite,1.0
phosphophyllite,wavellite,7.0
phosphophyllite,goedkenite,1.0
phosphophyllite,fluellite,2.0
phosphophyllite,meurigite-k,2.0
phosphophyllite,monazite-(ce),2.0
phosphophyllite,pseudolaueite,4.0
phosphophyllite,perhamite,2.0
phosphophyllite,perloffite,2.0
phosphophyllite,sinkankasite,1.0
phosphophyllite,childrenite,10.0
phosphophyllite,heterosite,16.0
phosphophyllite,sigismundite,2.0
phosphophyllite,lithiophosphate,1.0
phosphophyllite,dickinsonite-(kmnna),1.0
phosphophyllite,plimerite,3.0
phosphophyllite,goyazite,7.0
phosphophyllite,landesite,4.0
phosphophyllite,brazilianite,3.0
phosphophyllite,lefontite,1.0
phosphophyllite,melonjosephite,1.0
phosphophyllite,libethenite,3.0
phosphophyllite,faustite,1.0
phosphophyllite,metaswitzerite,6.0
phosphophyllite,messelite,11.0
phosphophyllite,bermanite,7.0
phosphophyllite,jahnsite-(camnfe),11.0
phosphophyllite,gordonite,1.0
phosphophyllite,veszelyite,1.0
phosphophyllite,arrojadite-(kfe),3.0
phosphophyllite,morinite,1.0
phosphophyllite,leucophosphite,6.0
phosphophyllite,roscherite,2.0
phosphophyllite,greifensteinite,2.0
phosphophyllite,lunokite,1.0
phosphophyllite,whiteite-(camnmg),2.0
phosphophyllite,cacoxenite,11.0
phosphophyllite,ushkovite,2.0
phosphophyllite,turquoise,3.0
phosphophyllite,whiteite-(mnfemg),2.0
phosphophyllite,rittmannite,4.0
phosphophyllite,hydroxylapatite,10.0
phosphophyllite,reaphookhillite,1.0
phosphophyllite,ferrorockbridgeite,1.0
phosphophyllite,laueite,13.0
phosphophyllite,natropalermoite,1.0
phosphophyllite,jahnsite-(camnmg),2.0
phosphophyllite,spencerite,1.0
phosphophyllite,xanthoxenite,8.0
phosphophyllite,vivianite,21.0
phosphophyllite,parahopeite,4.0
phosphophyllite,lehnerite,1.0
phosphophyllite,tvrdyite,1.0
phosphophyllite,collinsite,4.0
phosphophyllite,lithiophilite,2.0
phosphophyllite,manganflurlite,1.0
phosphophyllite,mangangordonite,4.0
phosphophyllite,scholzite,5.0
phosphophyllite,beryllonite,4.0
phosphophyllite,crandallite,5.0
phosphophyllite,autunite,13.0
phosphophyllite,hureaulite,13.0
phosphophyllite,isokite,1.0
phosphophyllite,zwieselite,5.0
phosphophyllite,fairfieldite,8.0
phosphophyllite,palermoite,1.0
phosphophyllite,mantienneite,1.0
phosphophyllite,whitlockite,3.0
phosphophyllite,vayrynenite,1.0
phosphophyllite,frondelite,3.0
phosphophyllite,xenotime-(y),1.0
phosphophyllite,zincoberaunite,1.0
phosphophyllite,brockite,1.0
phosphophyllite,ferrostrunzite,3.0
phosphophyllite,pseudomalachite,4.0
phosphophyllite,calcioferrite,3.0
phosphophyllite,footemineite,1.0
phosphophyllite,wilhelmgumbelite,1.0
phosphophyllite,mitridatite,13.0
phosphophyllite,lazulite,2.0
phosphophyllite,reddingite,4.0
phosphophyllite,steinmetzite,2.0
phosphophyllite,mcauslanite,1.0
phosphophyllite,augelite,3.0
phosphophyllite,wolfeite,6.0
phosphophyllite,fanfaniite,1.0
phosphophyllite,uralolite,2.0
phosphophyllite,ferrirockbridgeite,1.0
phosphophyllite,kayrobertsonite,2.0
phosphophyllite,variscite,3.0
phosphophyllite,beraunite,15.0
phosphophyllite,montebrasite,6.0
phosphophyllite,souzalite,2.0
phosphophyllite,earlshannonite,6.0
phosphophyllite,moraesite,4.0
phosphophyllite,serrabrancaite,2.0
phosphophyllite,phosphosiderite,13.0
phosphophyllite,stewartite,8.0
phosphophyllite,arrojadite-(srfe),1.0
phosphophyllite,bobierrite,1.0
phosphophyllite,purpurite,2.0
phosphophyllite,graftonite,5.0
phosphophyllite,kummerite,1.0
phosphophyllite,sarcopside,5.0
phosphophyllite,amblygonite,2.0
phosphophyllite,gorceixite,1.0
phosphophyllite,vanmeersscheite,1.0
phosphophyllite,samuelsonite,1.0
phosphophyllite,meta-autunite,6.0
phosphophyllite,tavorite,2.0
phosphophyllite,barbosalite,3.0
phosphophyllite,wyllieite,1.0
phosphophyllite,zairite,1.0
phosphophyllite,bjarebyite,1.0
phosphophyllite,strengite,12.0
phosphophyllite,hydroxylherderite,8.0
phosphophyllite,svanbergite,1.0
phosphophyllite,paravauxite,5.0
phosphophyllite,florencite-(ce),1.0
phosphophyllite,wilhelmvierlingite,1.0
phosphophyllite,zanazziite,2.0
phosphophyllite,hagendorfite,4.0
phosphophyllite,bassetite,2.0
phosphophyllite,phosphuranylite,3.0
phosphophyllite,jungite,1.0
phosphophyllite,zigrasite,1.0
phosphophyllite,benyacarite,2.0
phosphophyllite,parascholzite,6.0
phosphophyllite,kulanite,2.0
phosphophyllite,pyromorphite,3.0
phosphophyllite,alluaudite,3.0
phosphophyllite,triplite,11.0
phosphophyllite,cyrilovite,2.0
phosphophyllite,hinsdalite,1.0
phosphophyllite,anapaite,1.0
phosphophyllite,kryzhanovskite,3.0
phosphophyllite,ferrisicklerite,11.0
phosphophyllite,dufrenite,5.0
phosphophyllite,nordgauite,3.0
phosphophyllite,torbernite,15.0
phosphophyllite,olmsteadite,1.0
phosphophyllite,rosemaryite,1.0
phosphophyllite,sabugalite,1.0
phosphophyllite,plumbogummite,1.0
phosphophyllite,wildenauerite,1.0
phosphophyllite,triphylite,17.0
phosphophyllite,diadochite,9.0
phosphophyllite,uranocircite-ii,1.0
phosphophyllite,kastningite,4.0
phosphophyllite,cheralite,1.0
phosphophyllite,fluorapatite,21.0
phosphophyllite,kingsmountite,3.0
phosphophyllite,hopeite,9.0
phosphophyllite,schoonerite,8.0
phosphophyllite,jahnsite-(mnmnmn),1.0
phosphophyllite,strunzite,18.0
phosphophyllite,flurlite,1.0
phosphophyllite,metavanmeersscheite,1.0
phosphophyllite,kidwellite,2.0
phosphophyllite,metavivianite,5.0
phosphophyllite,jahnsite-(camnmn),4.0
phosphophyllite,kolbeckite,1.0
phosphophyllite,whitmoreite,9.0
phosphophyllite,gormanite,1.0
phosphophyllite,brushite,1.0
phosphophyllite,eosphorite,10.0
phosphophyllite,sampleite,1.0
phosphophyllite,nizamoffite,2.0
phosphophyllite,ferroalluaudite,2.0
phosphophyllite,zincostrunzite,2.0
phosphophyllite,ferraioloite,1.0
phosphophyllite,robertsite,4.0
phosphophyllite,keckite,4.0
phosphophyllite,chlorapatite,1.0
phosphophyllite,matulaite,2.0
phosphophyllite,scorzalite,7.0
phosphophyllite,switzerite,6.0
phosphophyllite,foggite,1.0
phosphophyllite,hurlbutite,1.0
phosphophyllite,chernikovite,2.0
phosphophyllite,lipscombite,3.0
phosphophyllite,tarbuttite,3.0
phosphophyllite,falsterite,1.0
phosphophyllite,wardite,3.0
phosphophyllite,schmidite,1.0
phosphophyllite,ferrolaueite,1.0
phosphophyllite,whiteite-(camnmn),2.0
phosphophyllite,triploidite,4.0
phosphophyllite,herderite,2.0
phosphophyllite,zincolibethenite,1.0
phosphophyllite,ferristrunzite,2.0
phosphophyllite,fillowite,1.0
phosphophyllite,chalcosiderite,2.0
phosphophyllite,hillite,1.0
phosphophyllite,ludlamite,11.0
phosphophyllite,natrodufrenite,2.0
phosphophyllite,phosphoferrite,5.0
rockbridgeite,ehrleite,1.0
rockbridgeite,wagnerite,5.0
rockbridgeite,wavellite,36.0
rockbridgeite,vantasselite,1.0
rockbridgeite,sigloite,3.0
rockbridgeite,goedkenite,1.0
rockbridgeite,fluellite,8.0
rockbridgeite,meurigite-k,8.0
rockbridgeite,millisite,2.0
rockbridgeite,monazite-(ce),14.0
rockbridgeite,pseudolaueite,7.0
rockbridgeite,griphite,2.0
rockbridgeite,perhamite,7.0
rockbridgeite,perloffite,4.0
rockbridgeite,sinkankasite,1.0
rockbridgeite,childrenite,28.0
rockbridgeite,heterosite,73.0
rockbridgeite,sigismundite,3.0
rockbridgeite,angarfite,1.0
rockbridgeite,threadgoldite,1.0
rockbridgeite,mrazekite,1.0
rockbridgeite,johnsomervilleite,4.0
rockbridgeite,lithiophosphate,3.0
rockbridgeite,dickinsonite-(kmnna),7.0
rockbridgeite,destinezite,1.0
rockbridgeite,plimerite,5.0
rockbridgeite,goyazite,20.0
rockbridgeite,landesite,9.0
rockbridgeite,brazilianite,16.0
rockbridgeite,tinticite,5.0
rockbridgeite,lakebogaite,1.0
rockbridgeite,lefontite,1.0
rockbridgeite,faheyite,1.0
rockbridgeite,melonjosephite,3.0
rockbridgeite,parsonsite,1.0
rockbridgeite,kosnarite,2.0
rockbridgeite,jahnsite-(nafemg),3.0
rockbridgeite,libethenite,18.0
rockbridgeite,mundite,1.0
rockbridgeite,bushmakinite,1.0
rockbridgeite,jahnsite-(mnmnfe),2.0
rockbridgeite,faustite,4.0
rockbridgeite,metaswitzerite,14.0
rockbridgeite,messelite,24.0
rockbridgeite,bermanite,36.0
rockbridgeite,jahnsite-(camnfe),24.0
rockbridgeite,gordonite,10.0
rockbridgeite,walentaite,1.0
rockbridgeite,arrojadite-(kfe),15.0
rockbridgeite,morinite,7.0
rockbridgeite,phosphofibrite,1.0
rockbridgeite,leucophosphite,40.0
rockbridgeite,roscherite,12.0
rockbridgeite,greifensteinite,13.0
rockbridgeite,correianevesite,2.0
rockbridgeite,metanatroautunite,1.0
rockbridgeite,lunokite,2.0
rockbridgeite,whiteite-(camnmg),5.0
rockbridgeite,cacoxenite,89.0
rockbridgeite,bleasdaleite,1.0
rockbridgeite,ushkovite,10.0
rockbridgeite,turquoise,19.0
rockbridgeite,whiteite-(mnfemg),6.0
rockbridgeite,rittmannite,10.0
rockbridgeite,hydroxylapatite,28.0
rockbridgeite,reaphookhillite,1.0
rockbridgeite,upalite,1.0
rockbridgeite,metavauxite,1.0
rockbridgeite,triangulite,1.0
rockbridgeite,arrojadite-(kna),1.0
rockbridgeite,jahnsite-(mnmnmg),1.0
rockbridgeite,ferrorockbridgeite,1.0
rockbridgeite,segelerite,2.0
rockbridgeite,laueite,54.0
rockbridgeite,natropalermoite,1.0
rockbridgeite,parafransoletite,1.0
rockbridgeite,jahnsite-(camnmg),8.0
rockbridgeite,rhabdophane-(la),1.0
rockbridgeite,xanthoxenite,23.0
rockbridgeite,bederite,1.0
rockbridgeite,wicksite,1.0
rockbridgeite,vivianite,92.0
rockbridgeite,tiptopite,1.0
rockbridgeite,parahopeite,4.0
rockbridgeite,lehnerite,1.0
rockbridgeite,planerite,7.0
rockbridgeite,tvrdyite,1.0
rockbridgeite,collinsite,16.0
rockbridgeite,lithiophilite,20.0
rockbridgeite,phurcalite,1.0
rockbridgeite,fransoletite,1.0
rockbridgeite,manganflurlite,1.0
rockbridgeite,hentschelite,4.0
rockbridgeite,metavariscite,3.0
rockbridgeite,mangangordonite,5.0
rockbridgeite,zodacite,1.0
rockbridgeite,vyacheslavite,1.0
rockbridgeite,fluorwavellite,4.0
rockbridgeite,lacroixite,3.0
rockbridgeite,scholzite,7.0
rockbridgeite,beryllonite,16.0
rockbridgeite,bertossaite,4.0
rockbridgeite,crandallite,39.0
rockbridgeite,allanpringite,1.0
rockbridgeite,autunite,54.0
rockbridgeite,hureaulite,64.0
rockbridgeite,isokite,4.0
rockbridgeite,zwieselite,18.0
rockbridgeite,fairfieldite,32.0
rockbridgeite,palermoite,1.0
rockbridgeite,mantienneite,1.0
rockbridgeite,whitlockite,16.0
rockbridgeite,vayrynenite,4.0
rockbridgeite,frondelite,39.0
rockbridgeite,ruifrancoite,1.0
rockbridgeite,englishite,1.0
rockbridgeite,metauranocircite-i,1.0
rockbridgeite,xenotime-(y),12.0
rockbridgeite,dewindtite,2.0
rockbridgeite,waylandite,3.0
rockbridgeite,zincoberaunite,1.0
rockbridgeite,brockite,1.0
rockbridgeite,ferrostrunzite,13.0
rockbridgeite,pseudomalachite,17.0
